Year,Page,Sample,Flow,Mass,Vial,Filename,Path,Species,Population,Plant,Cutting,PlantDate,Inflo,Diurnal,Sex,Leaves,Inflor,Mphase,Fphase,Closed,Buds,Flrs,ClosedCN,BudsCN,FlrsCN,Bag,Photo,Room,FlowRate,Temp,SampleDate,Equil,Start,Stop,Equi,Duration,Total,RunDate,Method,Blank,GC,Results,Notes
2016,,001,,,2,glob1,,globosa,10228,12,?,,,,M,,1,-,-,,,39,,,,16,"175111, 175125",15,150G,21,2016-04-07,,17:43,18:44,0.03,1.02,1.05,2016-04-08,"hexane, 35-10-290, 10 mg Tenax",-,C,No FVOCs observed. Two peaks of solvent contaminants,
2016,,002,,,1,glob2,,globosa,10228,11A,Clone 2,,,,F,,1,-,-,,,99,,,,16,"185,033",15,150G,20,2016-04-07,,18:46,19:48,0.03,1.03,1.07,2016-04-08,"hexane, 35-10-290, 10 mg Tenax",-,C,No FVOCs observed. Two peaks of solvent contaminants,
2016,,003,,,3,glob3,,ambient,-,458-69 Clone B,-,,,,-,,-,-,-,,,-,,,,,-,15,150G,19,2016-04-07,,19:56,20:58,0.03,1.03,1.07,2016-04-08,"hexane, 35-10-290, 10 mg Tenax",-,C,No bag. Slow acetone flow-through. No FVOC observed. Two peaks of solvent contaminants,
2016,,004,,,4,-,,,,,,,,,,,,,,,,,,,,,,,,,2016-04-07,,,,0.03,,,,,,0,Do not run - sharpie in acetone. Slow acetone flow-through.,
2016,,005,,,1,SGLOBOSA005,./Schiedea/SGLOBOSA05_160414.D,globosa,10228,12,?,,,,M,,1,-,-,,,35,,,,16,"190,652",15,150G,22,2016-04-11,,19:06,20:06,0.03,1.00,1.03,2016-04-14,TD2804ml,none,C,Lots of column contaminants,Diane's trap
2016,,006,,,2,SGLOBOSA006,./Schiedea/SGLOBOSA06_160414.D,globosa,10228,11A,Clone 2,,,,F, ,1,-,-,,,93,,,,16,-,15,150G,19,2016-04-11,,20:19,21:23,0.03,1.07,1.10,2016-04-14,TD2804ml,none,C,Lots of column contaminants,Diane's trap
2016,,007,,,3,SGLOBOSA007,./Schiedea/SGLOBOSA07_160517.D,globosa,906,42-4,Cutting 2,,,,M,,3,-,-,,,83,,,,16,"191,627",H9,150G,25,2016-04-22,,19:09,20:15,0.03,1.10,1.13,2016-05-17,TD2804ml,1,C,Overloaded with benzenes and diacetone alcohol,
2016,,008,,,4,SGLOBOSA008,./Schiedea/SGLOBOSA08_160518.D,globosa,906,19-4,Cutting 1,,,,F,,8,-,-,,,204,,,,16,"181,431",H9,150G,30,2016-04-25,,17:13,18:14,0.03,1.02,1.05,2016-05-18,TD2804ml,1,C,Overloaded with benzenes and diacetone alcohol,
2016,,009,,,1,SGLOBOSA009,./Schiedea/SGLOBOSA09_160517.D,globosa,13885,2,Cutting 1,,,,M,,1,-,-,,,42,,,,32,-,H9,150G,30,2016-05-13,,17:52,18:24,0.03,0.53,0.57,2016-05-17,TD2804ml,2,C,Column contaminants,
2016,,010,,,2,SGLOBOSA010,./Schiedea/SGLOBOSA10_160517.D,globosa,906,16-3 x 24-2-3,Cutting 6,,,,F,,1,-,-,,,89,,,,32,-,H9,150G,40,2016-05-14,,14:05,15:05,0.03,1.00,1.03,2016-05-17,TD2804ml,1,C,Column contaminants,
