"","organism","db_xref","haplotype","pop_variant","organelle","pop.hap","ncpGS","pepC","psbM-trnD","individual"
"1","Schiedea globosa","taxon:270405","118","844","plastid:chloroplast","Schiedea globosa 844 118",NA,NA,"FJ496357","844 118"
"2","Schiedea globosa","taxon:270405","213","844","plastid:chloroplast","Schiedea globosa 844 213",NA,NA,"FJ496358","844 213"
"3","Schiedea globosa","taxon:270405","9","844","plastid:chloroplast","Schiedea globosa 844 9",NA,NA,"FJ496359","844 9"
"4","Schiedea globosa","taxon:270405","7","850","plastid:chloroplast","Schiedea globosa 850 7",NA,NA,"FJ496360","850 7"
"5","Schiedea globosa","taxon:270405","14","850","plastid:chloroplast","Schiedea globosa 850 14",NA,NA,"FJ496361","850 14"
"6","Schiedea globosa","taxon:270405","6","905","plastid:chloroplast","Schiedea globosa 905 6",NA,NA,"FJ496362","905 6"
"7","Schiedea globosa","taxon:270405","7","905","plastid:chloroplast","Schiedea globosa 905 7",NA,NA,"FJ496363","905 7"
"8","Schiedea globosa","taxon:270405","12","905","plastid:chloroplast","Schiedea globosa 905 12",NA,NA,"FJ496364","905 12"
"9","Schiedea globosa","taxon:270405","13","905","plastid:chloroplast","Schiedea globosa 905 13",NA,NA,"FJ496365","905 13"
"10","Schiedea globosa","taxon:270405","17","905","plastid:chloroplast","Schiedea globosa 905 17",NA,NA,"FJ496366","905 17"
"11","Schiedea globosa","taxon:270405","19","905","plastid:chloroplast","Schiedea globosa 905 19",NA,NA,"FJ496367","905 19"
"12","Schiedea globosa","taxon:270405","23","905","plastid:chloroplast","Schiedea globosa 905 23",NA,NA,"FJ496368","905 23"
"13","Schiedea globosa","taxon:270405","24","905","plastid:chloroplast","Schiedea globosa 905 24",NA,NA,"FJ496369","905 24"
"14","Schiedea globosa","taxon:270405","26","905","plastid:chloroplast","Schiedea globosa 905 26",NA,NA,"FJ496370","905 26"
"15","Schiedea globosa","taxon:270405","28","905","plastid:chloroplast","Schiedea globosa 905 28",NA,NA,"FJ496371","905 28"
"16","Schiedea globosa","taxon:270405","1","906","plastid:chloroplast","Schiedea globosa 906 1",NA,NA,"FJ496372","906 1"
"17","Schiedea globosa","taxon:270405","1023","906","plastid:chloroplast","Schiedea globosa 906 1023",NA,NA,"FJ496373","906 1023"
"18","Schiedea globosa","taxon:270405","1057","906","plastid:chloroplast","Schiedea globosa 906 1057",NA,NA,"FJ496374","906 1057"
"19","Schiedea globosa","taxon:270405","10","906","plastid:chloroplast","Schiedea globosa 906 10",NA,NA,"FJ496375","906 10"
"20","Schiedea globosa","taxon:270405","16","906","plastid:chloroplast","Schiedea globosa 906 16",NA,NA,"FJ496376","906 16"
"21","Schiedea globosa","taxon:270405","17","906","plastid:chloroplast","Schiedea globosa 906 17",NA,NA,"FJ496377","906 17"
"22","Schiedea globosa","taxon:270405","19","906","plastid:chloroplast","Schiedea globosa 906 19",NA,NA,"FJ496378","906 19"
"23","Schiedea globosa","taxon:270405","21","906","plastid:chloroplast","Schiedea globosa 906 21",NA,NA,"FJ496379","906 21"
"24","Schiedea globosa","taxon:270405","31","906","plastid:chloroplast","Schiedea globosa 906 31",NA,NA,"FJ496380","906 31"
"25","Schiedea globosa","taxon:270405","1038","906","plastid:chloroplast","Schiedea globosa 906 1038",NA,NA,"FJ496381","906 1038"
"26","Schiedea globosa","taxon:270405","42","906","plastid:chloroplast","Schiedea globosa 906 42",NA,NA,"FJ496382","906 42"
"27","Schiedea globosa","taxon:270405","13","951","plastid:chloroplast","Schiedea globosa 951 13",NA,NA,"FJ496383","951 13"
"28","Schiedea globosa","taxon:270405","16","951","plastid:chloroplast","Schiedea globosa 951 16",NA,NA,"FJ496384","951 16"
"29","Schiedea globosa","taxon:270405","18","951","plastid:chloroplast","Schiedea globosa 951 18",NA,NA,"FJ496385","951 18"
