n,name,name2,initials,IUPAC,type,subtype,mean,freq.glob
1,.alpha.-Campholenal,,,,,,0.000,0.00
2,.alpha.-Methyl-.alpha.-[4-methyl-3-pentenyl]oxiranemethanol,epoxydihydrolinalool,edhl,6-methyl-2-(oxiran-2-yl)hept-5-en-2-ol,terpene,acyclic monoterpene alcohol,0.211,0.11
3,.alpha.-Phellandrene,,,,,,0.000,0.00
4,"(+-)-4-Amino-4,5-dihydro-2(3H)-furanone",,,,,,0.798,0.03
5,"(1S,2R,4R,7R)-4-Isopropyl-7-methyl-3,8-dioxatricyclo[5.1.0.02,4]octane",,,,,,0.000,0.00
6,"(1S,2S,3R,5S)-(+)-Pinanediol",pinanediol,pina,"(1S,2S,3R,5S)-2,6,6-trimethylbicyclo[3.1.1]heptane-2,3-diol",terpene,cyclic monoterpene alcohol,0.356,0.05
7,"(1S,5S,6R)-6-Methyl-2-methylene-6-(4-methylpent-3-en-1-yl)bicyclo[3.1.1]heptane",bergamotene,berg,6-methyl-2-methylidene-6-(4-methylpent-3-enyl)bicyclo[3.1.1]heptane,terpene,cyclic sesquiterpene,3.012,0.16
8,"(3R,6S)-2,2,6-Trimethyl-6-vinyltetrahydro-2H-pyran-3-ol",linalool oxide (pyranoid),lopy,"6-ethenyl-2,2,6-trimethyloxan-3-ol",terpene,cyclic monoterpene alcohol,1.597,0.46
9,(6Z)-Nonen-1-ol,,,,,,0.000,0.00
10,"(E)-4,8-Dimethylnona-1,3,7-triene",DMNT,DMNT,"(3E)-4,8-dimethylnona-1,3,7-triene",terpene,homoterpene,37.918,0.92
11,"1-(2,2-Dimethyl[1,3]dioxan-4-yl)ethanol",,,,,,0.654,0.03
12,"1-Aminocyclopropanecarboxylic acid, N-dimethylaminomethylene-, butyl ester",,,,,,0.000,0.00
13,"1-Butanol, 2-ethyl-",,2ebo,2-ethylbutan-1-ol,aliphatic,alcohol,0.641,0.09
14,"1-Butanol, 3-methyl-",,3mbo,3-methylbutan-1-ol,aliphatic,alcohol,7.359,0.58
15,1-Hexanol,,,,,,0.000,0.00
16,"1-Hexanol, 4-methyl-, (S)-",,4mho,4-methylhexan-1-ol,aliphatic,alcohol,1.323,0.64
17,1-Iodo-2-methylundecane,,,,,,0.054,0.02
18,"1-Methoxy-3,5-dimethyl-cyclohexene",,,,,,0.000,0.00
19,1-Octanesulfonyl chloride,,,,,,0.126,0.01
20,1-Octanol,,,,,,0.091,0.02
21,1-Octen-3-ol,,octe,oct-1-en-3-ol,aliphatic,alcohol,1.385,0.54
22,1-Pentadecanol acetate,,,,,,0.345,0.01
23,1-Pentanol,,peno,pentan-1-ol,aliphatic,alcohol,0.685,0.34
24,"1-Pentanol, 4-methyl-",,mpol,4-methylpentan-1-ol,aliphatic,alcohol,5.960,0.77
