sequence.start,Desorb.Start.Time,CreationTime,eithertime,status,Tube,markes_n,GC_n,either_n,markes_GC,create_desorb,FileName,user,FullName,id,desorb.Start.diff,nameBlank,Mixup,kBlank,Cluster,n_peaks,vial,dupe,ApproxDate,Period,SteelTube,Problem,Note,TubeMatch
2019-06-21T09:55:04Z,2019-06-21T16:59:55Z,2019-06-21T16:54:01Z,2019-06-21T16:54:01Z,Desorbed NA,1,1,1,1,0,354,Blank1_6212019_01.qgd,Blank : RMBL,C:/GCMSsolution/Data/Project1/RMBL Data/Bakeout 2019/Blank1_6212019_01.qgd,70ec0c1b-1de2-4b2f-bbaf-6c16775fec61,7393,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
2019-06-21T09:55:04Z,2019-06-21T17:51:14Z,2019-06-21T17:44:39Z,2019-06-21T17:44:39Z,"NA NA",2,2,2,2,0,395,KAHO_V27_6202019_02.qgd,John Powers : Sakai/Weller,C:/GCMSsolution/Data/Project1/Powers RMBL Data/KAHO_V27_6202019_02.qgd,70ec0c1b-1de2-4b2f-bbaf-6c16775fec61,3079,FALSE,FALSE,FALSE,34,318,27,FALSE,NA,NA,NA,NA,NA,NA
2019-06-21T09:55:04Z,2019-06-21T17:51:14Z,2019-06-21T17:44:39Z,2019-06-21T17:44:39Z,"NA NA",2,2,1,1,1,395,STEL_V577_6202019_01.qgd,John Powers : Sakai/Weller,C:/GCMSsolution/Data/Project1/Powers RMBL Data/STEL_V577_6202019_01.qgd,70ec0c1b-1de2-4b2f-bbaf-6c16775fec61,0,FALSE,FALSE,FALSE,18,304,577,FALSE,NA,NA,NA,NA,NA,NA
2019-06-21T21:22:06Z,2019-06-22T04:27:01Z,2019-06-22T04:25:09Z,2019-06-22T04:25:09Z,Desorbed NA,1,1,1,1,0,112,GLOB_V41_6212019_01.qgd,John Powers : Sakai/Weller,C:/GCMSsolution/Data/Project1/Powers RMBL Data/GLOB_V41_6212019_01.qgd,7a8fd3f0-79ed-42d9-a5e4-eae68d315d73,10827,FALSE,FALSE,FALSE,18,308,41,FALSE,NA,NA,NA,NA,NA,NA
2019-06-21T21:22:06Z,2019-06-22T04:57:31Z,2019-06-22T04:57:54Z,2019-06-22T04:57:31Z,Desorbed NA,2,2,2,2,0,23,GLOB_V45_6212019_02.qgd,John Powers : Sakai/Weller,C:/GCMSsolution/Data/Project1/Powers RMBL Data/GLOB_V45_6212019_02.qgd,7a8fd3f0-79ed-42d9-a5e4-eae68d315d73,1830,FALSE,FALSE,FALSE,18,329,45,FALSE,NA,NA,NA,NA,NA,NA
2019-06-21T21:22:06Z,2019-06-22T05:29:40Z,2019-06-22T05:30:05Z,2019-06-22T05:29:40Z,Desorbed NA,3,3,3,3,0,25,GLOB_V126_6212019_03.qgd,John Powers : Sakai/Weller,C:/GCMSsolution/Data/Project1/Powers RMBL Data/GLOB_V126_6212019_03.qgd,7a8fd3f0-79ed-42d9-a5e4-eae68d315d73,1929,FALSE,FALSE,FALSE,18,319,126,FALSE,NA,NA,NA,NA,NA,NA
2019-06-21T21:22:06Z,2019-06-22T06:01:31Z,2019-06-22T06:01:42Z,2019-06-22T06:01:31Z,Desorbed NA,4,4,4,4,0,11,GLOB_V127_6212019_04.qgd,John Powers : Sakai/Weller,C:/GCMSsolution/Data/Project1/Powers RMBL Data/GLOB_V127_6212019_04.qgd,7a8fd3f0-79ed-42d9-a5e4-eae68d315d73,1911,FALSE,FALSE,FALSE,30,327,127,FALSE,NA,NA,NA,NA,NA,NA
2019-06-21T21:22:06Z,2019-06-22T06:33:14Z,2019-06-22T06:33:32Z,2019-06-22T06:33:14Z,Desorbed NA,5,5,5,5,0,18,GLOB_V128_6212019_05.qgd,John Powers : Sakai/Weller,C:/GCMSsolution/Data/Project1/Powers RMBL Data/GLOB_V128_6212019_05.qgd,7a8fd3f0-79ed-42d9-a5e4-eae68d315d73,1903,FALSE,FALSE,FALSE,30,321,128,FALSE,NA,NA,NA,NA,NA,NA
2019-06-21T21:22:06Z,2019-06-22T07:04:48Z,2019-06-22T07:05:00Z,2019-06-22T07:04:48Z,Desorbed NA,6,6,6,6,0,12,GLOB_V130_6212019_06.qgd,John Powers : Sakai/Weller,C:/GCMSsolution/Data/Project1/Powers RMBL Data/GLOB_V130_6212019_06.qgd,7a8fd3f0-79ed-42d9-a5e4-eae68d315d73,1894,FALSE,FALSE,FALSE,30,324,130,FALSE,NA,NA,NA,NA,NA,NA
2019-06-21T21:22:06Z,2019-06-22T07:36:13Z,2019-06-22T07:36:33Z,2019-06-22T07:36:13Z,Desorbed NA,7,7,7,7,0,20,GLOB_V131_6212019_07.qgd,John Powers : Sakai/Weller,C:/GCMSsolution/Data/Project1/Powers RMBL Data/GLOB_V131_6212019_07.qgd,7a8fd3f0-79ed-42d9-a5e4-eae68d315d73,1885,FALSE,FALSE,FALSE,30,323,131,FALSE,NA,NA,NA,NA,NA,NA
