FileName,Year,Page,Sample,Flow,Mass,Vial,Filename,Path,Species,Population,Plant,Cutting,PlantDate,Inflo,Diurnal,Sex,Leaves,Inflor,Mphase,Fphase,Closed,Buds,Flrs,ClosedCN,BudsCN,FlrsCN,Bag,Photo,Room,FlowRate,Temp,SampleDate,Equil,Start,Stop,Equi,Duration,Total,RunDate,Method,Blank,GC,Results,Notes,DN,sequence.start,Desorb.Start.Time,CreationTime,eithertime,status,Tube,markes_n,GC_n,either_n,markes_GC,create_desorb,user,FullName,id,desorb.Start.diff,nameBlank,Mixup,kBlank,Cluster,n_peaks,vial,dupe,ApproxDate,Period,SteelTube,Problem,Note,TubeMatch,sample,verdict,FileName2,dupe2,badtube,type,sp,sp2,Species2,Species2Pop
AMBI_V132_6212019_08.qgd,2018,4,440,NA,NA,132,AMBIENT440,#N/A,ambient,-,-,-,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,16,NA,8,200D,33,2018-07-07,12:18,12:20:00,12:50:00,0.03,0.5,0.53,NA,RMBL,NA,NR,NA,NA,Day,2019-06-21T21:22:06Z,2019-06-22T08:07:40Z,2019-06-22T08:07:57Z,2019-06-22T08:07:40Z,Desorbed NA,8,8,8,8,0,17,NA,C:/GCMSsolution/Data/Project1/Powers RMBL Data/AMBI_V132_6212019_08.qgd,7a8fd3f0-79ed-42d9-a5e4-eae68d315d73,1887,FALSE,FALSE,FALSE,30,329,132,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,AMBI_V132_6212019_08.qgd,FALSE,FALSE,ambient,AMBI,AMBI,ambient,ambient -
AMBI_V639_6242019_03.qgd,2019,26,923,NA,NA,639,NA,NA,ambient,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,16,NA,NA,200D,-,2019-06-02,-,22:59:00,23:29:00,NA,0.5,0.5,NA,RMBL,NA,NR,NA,NA,Night,2019-06-24T22:05:15Z,2019-06-25T06:10:44Z,2019-06-25T06:11:00Z,2019-06-25T06:10:44Z,Desorbed NA,2,3,3,3,0,16,NA,C:/GCMSsolution/Data/Project1/Powers RMBL Data/AMBI_V639_6242019_03.qgd,f2afb07d-9e6b-4114-afc7-e9dd8a3ab5fd,1852,FALSE,FALSE,FALSE,37,327,639,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,AMBI_V639_6242019_03.qgd,FALSE,FALSE,ambient,AMBI,AMBI,ambient,ambient -
Bakeout_T21_6232019_23.qgd,2018,4,432,NA,NA,NA,AMBIENT432,#N/A,blank,-,-,-,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,16,NA,8,200D,-,2018-07-02,-,13:20:00,14:50:00,NA,1.5,1.5,NA,RMBL,NA,NR,NA,1.5 hr ambient,Day,2019-06-23T00:02:38Z,2019-06-23T18:34:40Z,2019-06-23T18:38:55Z,2019-06-23T18:34:40Z,Desorbed NA,21,23,23,23,0,255,Blank : RMBL,C:/GCMSsolution/Data/Project1/Powers RMBL Data/Bakeout_T21_6232019_23.qgd,b4f18eaa-4baa-4eb6-b497-38b67ace9a27,1586,TRUE,FALSE,TRUE,32,311,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Bakeout_T21_6232019_23.qgd,FALSE,FALSE,blank,BLAN,BLAN,blank,blank -
Bakeout_T22_6232019_24.qgd,2018,4,432,NA,NA,NA,AMBIENT432,#N/A,blank,-,-,-,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,16,NA,8,200D,-,2018-07-02,-,13:20:00,14:50:00,NA,1.5,1.5,NA,RMBL,NA,NR,NA,1.5 hr ambient,Day,2019-06-23T00:02:38Z,2019-06-23T19:05:11Z,2019-06-23T19:10:29Z,2019-06-23T19:05:11Z,Desorbed NA,22,24,24,24,0,318,Blank : RMBL,C:/GCMSsolution/Data/Project1/Powers RMBL Data/Bakeout_T22_6232019_24.qgd,b4f18eaa-4baa-4eb6-b497-38b67ace9a27,1831,TRUE,FALSE,TRUE,32,331,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Bakeout_T22_6232019_24.qgd,FALSE,FALSE,blank,BLAN,BLAN,blank,blank -
Bakeout_T23_6232019_25.qgd,2018,4,432,NA,NA,NA,AMBIENT432,#N/A,blank,-,-,-,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,16,NA,8,200D,-,2018-07-02,-,13:20:00,14:50:00,NA,1.5,1.5,NA,RMBL,NA,NR,NA,1.5 hr ambient,Day,2019-06-23T00:02:38Z,2019-06-23T19:36:25Z,2019-06-23T19:41:37Z,2019-06-23T19:36:25Z,Desorbed NA,23,25,25,25,0,312,Blank : RMBL,C:/GCMSsolution/Data/Project1/Powers RMBL Data/Bakeout_T23_6232019_25.qgd,b4f18eaa-4baa-4eb6-b497-38b67ace9a27,1874,TRUE,FALSE,TRUE,32,313,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Bakeout_T23_6232019_25.qgd,FALSE,FALSE,blank,BLAN,BLAN,blank,blank -
Bakeout_T24_6232019_26.qgd,2018,4,432,NA,NA,NA,AMBIENT432,#N/A,blank,-,-,-,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,16,NA,8,200D,-,2018-07-02,-,13:20:00,14:50:00,NA,1.5,1.5,NA,RMBL,NA,NR,NA,1.5 hr ambient,Day,2019-06-23T00:02:38Z,2019-06-23T20:07:33Z,2019-06-23T20:12:49Z,2019-06-23T20:07:33Z,Desorbed NA,24,26,26,26,0,316,Blank : RMBL,C:/GCMSsolution/Data/Project1/Powers RMBL Data/Bakeout_T24_6232019_26.qgd,b4f18eaa-4baa-4eb6-b497-38b67ace9a27,1868,TRUE,FALSE,TRUE,32,321,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Bakeout_T24_6232019_26.qgd,FALSE,FALSE,blank,BLAN,BLAN,blank,blank -
Bakeout_T25_6232019_27.qgd,2018,4,432,NA,NA,NA,AMBIENT432,#N/A,blank,-,-,-,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,16,NA,8,200D,-,2018-07-02,-,13:20:00,14:50:00,NA,1.5,1.5,NA,RMBL,NA,NR,NA,1.5 hr ambient,Day,2019-06-23T00:02:38Z,2019-06-23T20:38:45Z,2019-06-23T20:44:00Z,2019-06-23T20:38:45Z,Desorbed NA,25,27,27,27,0,315,Blank : RMBL,C:/GCMSsolution/Data/Project1/Powers RMBL Data/Bakeout_T25_6232019_27.qgd,b4f18eaa-4baa-4eb6-b497-38b67ace9a27,1872,TRUE,FALSE,TRUE,32,330,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Bakeout_T25_6232019_27.qgd,FALSE,FALSE,blank,BLAN,BLAN,blank,blank -
Blank1_6232019_01.qgd,2018,4,432,NA,NA,NA,AMBIENT432,#N/A,blank,-,-,-,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,16,NA,8,200D,-,2018-07-02,-,13:20:00,14:50:00,NA,1.5,1.5,NA,RMBL,NA,NR,NA,1.5 hr ambient,Day,2019-06-23T00:02:38Z,2019-06-23T07:07:27Z,2019-06-23T07:00:22Z,2019-06-23T07:00:22Z,Desorbed NA,10,1,1,1,0,425,Blank : RMBL,C:/GCMSsolution/Data/Project1/Powers RMBL Data/Blank1_6232019_01.qgd,b4f18eaa-4baa-4eb6-b497-38b67ace9a27,3372,TRUE,FALSE,TRUE,32,314,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Blank1_6232019_01.qgd,FALSE,FALSE,blank,BLAN,BLAN,blank,blank -
Blank1_6232019_02.qgd,2018,4,432,NA,NA,NA,AMBIENT432,#N/A,blank,-,-,-,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,16,NA,8,200D,-,2018-07-02,-,13:20:00,14:50:00,NA,1.5,1.5,NA,RMBL,NA,NR,NA,1.5 hr ambient,Day,2019-06-23T17:10:43Z,2019-06-24T00:16:47Z,2019-06-24T00:08:43Z,2019-06-24T00:08:43Z,Desorbed NA,10,1,2,1,-1,484,Blank : RMBL,C:/GCMSsolution/Data/Project1/Powers RMBL Data/Blank1_6232019_02.qgd,666d19c2-1a58-4377-8e28-713757f6b816,13082,TRUE,FALSE,TRUE,32,318,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Blank1_6232019_02.qgd,FALSE,FALSE,blank,BLAN,BLAN,blank,blank -
Blank1_6242019_01.qgd,2018,4,432,NA,NA,NA,AMBIENT432,#N/A,blank,-,-,-,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,16,NA,8,200D,-,2018-07-02,-,13:20:00,14:50:00,NA,1.5,1.5,NA,RMBL,NA,NR,NA,1.5 hr ambient,Day,2019-06-24T08:46:51Z,2019-06-24T15:51:51Z,2019-06-24T15:46:25Z,2019-06-24T15:46:25Z,Desorbed NA,10,1,1,1,0,326,Blank : RMBL,C:/GCMSsolution/Data/Project1/Powers RMBL Data/Blank1_6242019_01.qgd,007838c9-5c0c-4d33-8641-9af10a258730,16833,TRUE,FALSE,TRUE,32,341,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Blank1_6242019_01.qgd,FALSE,FALSE,blank,BLAN,BLAN,blank,blank -
