Species,Island,Population,Family,Plant,Sex,Cutting,Year
globosa,O'ahu,13886,13886 10F,10F,M,Cutting 2,2018
globosa,O'ahu,13886,13886 14M,14M,M,Cutting 2,2018
globosa,O'ahu,13886,13886 15,15,M,NA,2019
globosa,O'ahu,13886,13886 15M,15M,F,Cutting 1,2018
globosa,O'ahu,13886,13886 15M,15M,F,Cutting 1,2019
globosa,O'ahu,13886,13886 16M,16M,M,Cutting 2,2018
globosa,O'ahu,13886,13886 17M,17M,M,NA,2019
globosa,O'ahu,13886,13886 1M,1M,M,Cutting 1,2018
globosa,O'ahu,13886,13886 20,20,H,NA,2019
globosa,O'ahu,13886,13886 22,22,H,Cutting 1,2018
globosa,O'ahu,13886,13886 22,22,H,NA,2019
globosa,O'ahu,13886,13886 22F,22F,F,NA,2019
globosa,O'ahu,13886,13886 25,25,M,NA,2018
globosa,O'ahu,13886,13886 25,25,M,NA,2019
globosa,O'ahu,13886,13886 27M,27M,M,Cutting 2,2018
globosa,O'ahu,13886,13886 6F,6F,F,Cutting 2,2018
globosa,O'ahu,13886,13886 6F,6F,F,Cutting 4,2019
globosa,O'ahu,13885,13885 14,14,M,NA,2018
globosa,O'ahu,13885,13885 15,15,F,Cutting 3,2018
globosa,O'ahu,13885,13885 15F,15F,M,NA,2018
globosa,O'ahu,13885,13885 17,17,M,NA,2019
globosa,O'ahu,13885,13885 18,18,M,NA,2019
globosa,O'ahu,13885,13885 2,2,M,Cutting 1,2018
globosa,O'ahu,964,964 NA,NA,F,NA,2018
globosa,O'ahu,964,964 NA,NA,F,Cutting 1,2019
globosa,O'ahu,844,F1,F1-10 sds 27,M,NA,2018
globosa,O'ahu,844,F1,F1-16,F,NA,2018
globosa,O'ahu,844,F1,F1-6,F,NA,2018
globosa,O'ahu,844,F1,F1-8,M,NA,2019
globosa,O'ahu,844,F2,F2-11,F,NA,2019
globosa,O'ahu,844,F2,F2-12,F,NA,2019
globosa,O'ahu,844,F2,F2-24,M,NA,2018
globosa,O'ahu,844,F2,F2-30,F,NA,2018
globosa,O'ahu,844,F3,F3-10-37,H,NA,2018
globosa,O'ahu,844,F3,F3-19,M,NA,2018
globosa,O'ahu,844,F3,F3-22,M,NA,2018
globosa,O'ahu,844,F3,F3-27M,H,NA,2019
globosa,O'ahu,844,F3,F3-30,F,NA,2018
globosa,O'ahu,844,F3,F3-8,M,NA,2019
globosa,O'ahu,844,F8,F8-16,F,NA,2018
globosa,O'ahu,906,906 1023,1023,M,NA,2018
globosa,O'ahu,906,906 1045A,1045A,F,Cutting 1,2018
globosa,O'ahu,906,906 1045A,1045A,F,Cutting 2,2018
globosa,O'ahu,906,16-3,16-3,F,Cutting 2,2019
globosa,O'ahu,906,906 19-4,19-4,F,Cutting 1,2019
globosa,O'ahu,906,906 19-4,19-4,F,NA,2019
globosa,O'ahu,906,906 21-4 M,21-4 M,H,Cutting 2,2018
globosa,O'ahu,906,906 21-4 M,21-4 M,H,Cutting 2,2019
globosa,O'ahu,906,906 42-4,42-4,M,NA,2019
globosa,O'ahu,906,906 42-4,42-4,M,Cutting 1,2019
globosa,Moloka'i,10228,10228 003,003,F,Cutting 1,2019
globosa,Moloka'i,10228,10228 012,012,M,Cutting 2,2018
globosa,Moloka'i,10228,10228 012,012,M,Cutting 2,2019
globosa,Moloka'i,10228,10228 032 F,032 F,F,Cutting 2,2019
globosa,Moloka'i,10228,10228 035,035,M,Cutting 1,2019
globosa,Moloka'i,10228,10228 6,6,F,Cutting 1,2018
globosa,Moloka'i,10228,10228 60,60,H,Cutting 2,2019
globosa,Moloka'i,10228,10228 missing number,missing number,F,Cutting 1,2019
globosa,Moloka'i,102HU,102HU 10213,10213,F,Cutting 1,2018
globosa,Moloka'i,102HU,102HU 10213,10213,F,Cutting 1,2019
globosa,Moloka'i,102HU,102HU 10218,10218,F,Cutting 1,2018
globosa,Moloka'i,102HU,102HU 10218,10218,F,Cutting 1,2019
globosa,Moloka'i,102HU,102HU 10221,10221,F,Cutting 1,2018
globosa,Moloka'i,102HU,102HU 10221,10221,F,Cutting 3,2018
globosa,Moloka'i,102HU,102HU 10221,10221,F,Cutting 3,2019
globosa,Maui,951,951 310-2,310-2,F,Cutting 1,2019
globosa,Maui,951,951 310-2,310-2,F,NA,2019
globosa,Maui,905,905 ?,?,F,NA,2019
globosa,Maui,905,905 11,11,F,Cutting 1,2019
globosa,Maui,905,905 2,2,M,Cutting 1,2019
globosa,Maui,905,905 24-2,24-2,M,Cutting 3,2018
globosa,Maui,905,905 24-2,24-2,M,Cutting 1,2019
globosa,Maui,905,905 5-1 97s,5-1 97s,F,Cutting 2,2019
globosa,Maui,905,905 98s 35-14,98s 35-14,M,Cutting 1,2019
globosa,Maui,905,905 tag lost,tag lost,F,Cutting 2,2018
globosa,Maui,850,850 7,7,F,A,2019
globosa,Maui,850,850 7,7,F,NA,2019
globosa,Hawai'i,11221,11221 NA,NA,M,Cutting 2,2019
globosa,Hawai'i,15191,15191 NA,NA,F,Cutting 1,2018
globosa,Hawai'i,15191,15191 NA,NA,F,Cutting 1,2019
